Model,seed,n_sources,n_mixtures,n_samples,presumed_domain,SINR,SNRinp_target,SNRinp_measured,execution_time,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,500,5,11,100000,sparse,27.222913746233907,30.0,30.0003779418145,14.601771685003769,27.67944348932941,27.672326264031184,25.950315303878078,28.028158109915537,27.13401830889741
PredictiveDecorrBSS,500,5,12,100000,sparse,26.992895258337157,30.0,30.00741363447178,14.682064913999056,27.50743680423202,26.942470651264205,25.918294708805693,28.009486551476755,26.898478883561552
PredictiveDecorrBSS,500,5,13,100000,sparse,27.057884647311965,30.0,30.00382413028071,14.393428044975735,27.224854765327855,27.247871330040088,25.989109829636803,27.88350010765658,27.19490595003421
PredictiveDecorrBSS,600,5,7,100000,sparse,24.187358995140666,30.0,30.001187125862252,14.535180914012017,21.159098144466284,24.861368866716646,22.571595255822206,28.717936599932475,28.88718398215273
PredictiveDecorrBSS,600,5,8,100000,sparse,24.932956131627122,30.0,30.010346418051643,14.810323629993945,22.60740483257727,25.765161643374945,22.6471884258587,28.671422370077252,29.391948629589812
PredictiveDecorrBSS,600,5,9,100000,sparse,24.991358794028976,30.0,30.003934632745725,14.603240186988842,22.46302888966656,25.558138581036633,22.95222216850695,29.417667518648333,29.20393791986063
PredictiveDecorrBSS,600,5,10,100000,sparse,26.293290315867704,30.0,29.99788495010911,14.494490274984855,23.997210486485343,26.541486888650518,24.902974234809143,29.36833577706862,29.35838059116337
PredictiveDecorrBSS,600,5,11,100000,sparse,26.751819085763575,30.0,30.001670386916057,14.46681973800878,25.132613774575404,26.576180072811766,25.31722584089377,29.270915739003325,29.27271609268066
PredictiveDecorrBSS,600,5,12,100000,sparse,27.3689588795095,30.0,29.991473669638165,14.55734537600074,26.061968913802712,27.210179414741276,26.34104999139958,29.364831449208538,28.82181287110875
PredictiveDecorrBSS,600,5,13,100000,sparse,27.231970523636043,30.0,29.996989540217783,14.594194470992079,26.01073157147381,27.305885661187737,26.228613143957496,29.309040885242975,28.12185692817561
