Model,seed,rho,mixing_distribution,SINR,SNRinp_target,SNRinp_measured,execution_time,n_sources,n_mixtures,n_samples,presumed_domain,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,200,0.0,laplace,25.92494041580906,30.0,30.007297752557353,8.698328430997208,5,10,100000,nnantisparse,23.444971735092587,26.777964183034165,27.014110671279358,26.81688010911111,26.782166792036293
PredictiveDecorrBSS,300,0.0,laplace,26.87139967015056,30.0,29.99601688919844,8.695792863029055,5,10,100000,nnantisparse,28.728667512697207,26.53036369077907,25.474615794228917,28.39728086360129,26.137809454240273
PredictiveDecorrBSS,400,0.0,laplace,25.704007998726222,30.0,30.013232185522114,8.692388444091193,5,10,100000,nnantisparse,26.8646025657689,27.787103030918598,26.741263724693802,24.704897083383777,23.7421433096781
PredictiveDecorrBSS,500,0.0,laplace,26.54576244750259,30.0,30.029984745475634,8.69378723599948,5,10,100000,nnantisparse,24.114746480999973,28.145679336036245,28.985899482305104,25.91305460517663,27.322424766573207
PredictiveDecorrBSS,600,0.0,laplace,26.201765049964237,30.0,30.003791769994812,8.69344926404301,5,10,100000,nnantisparse,25.96726996143715,28.97408179284346,25.737830896912712,25.63958651861816,25.52924328902151
PredictiveDecorrBSS,700,0.0,laplace,27.350792902961572,30.0,30.00579039058909,8.744648728054017,5,10,100000,nnantisparse,30.44990124229905,29.07733193168945,28.77425357009219,25.583789361379083,25.265964005086285
PredictiveDecorrBSS,800,0.0,laplace,9.992435975858706,30.0,30.00078023025935,8.715973559999838,5,10,100000,nnantisparse,28.72227449135686,26.074882537953844,3.5710811922665284,24.980444866139322,26.283701716407904
PredictiveDecorrBSS,900,0.0,laplace,26.483098110441595,30.0,30.015123059265314,8.729333341005258,5,10,100000,nnantisparse,26.495747891137054,26.17657645713662,29.671110700204736,25.612415940245768,25.589574933929768
PredictiveDecorrBSS,1000,0.0,laplace,27.51837687875751,30.0,30.01274356572044,8.701152613968588,5,10,100000,nnantisparse,28.327688628234498,27.151970608715303,26.848422937067422,27.475941053378943,27.94552758047745
PredictiveDecorrBSS,1100,0.0,laplace,26.92236626391243,30.0,29.982682019331257,8.674222704023123,5,10,100000,nnantisparse,25.543489149306605,27.791454494534655,28.87780478488636,25.30672897141266,28.350464872759567
PredictiveDecorrBSS,1200,0.0,laplace,26.625849291067723,30.0,29.9900295093331,8.675619157962501,5,10,100000,nnantisparse,25.151683606320248,27.76655274548652,27.541299618165745,26.00244702123515,27.263149966556224
PredictiveDecorrBSS,1300,0.0,laplace,26.147192024547024,30.0,30.016349351963306,8.703562137903646,5,10,100000,nnantisparse,25.315129817237736,25.433470807212327,27.005485668816963,25.57010256012136,28.02088158298959
PredictiveDecorrBSS,1400,0.0,laplace,26.567835232721947,30.0,30.004712629781572,8.699364613974467,5,10,100000,nnantisparse,26.94087179130472,27.664113344397702,25.900814491579084,26.02413814191367,26.54524991933147
