num_sources,num_mixtures,seed,source_index,pem_component_snr,mmse_component_snr,pem_overall_sinr,mmse_overall_sinr,input_snr,pem_execution_time
5,3,0,4,0.12139117300760366,0.09861459320481546,2.578451859708109,2.0205466811450936,29.995506298297077,7.83572416700008
5,3,1,0,1.984028264109948,1.537591716560243,3.4894231063795464,2.735749394545603,30.006145087179213,7.874722624999777
5,3,1,1,11.409475564163476,17.69853911346699,3.4894231063795464,2.735749394545603,30.006145087179213,7.874722624999777
5,3,1,2,7.5108720839760235,8.41926959799734,3.4894231063795464,2.735749394545603,30.006145087179213,7.874722624999777
5,3,1,3,3.755749208638168,4.059101680277671,3.4894231063795464,2.735749394545603,30.006145087179213,7.874722624999777
5,3,1,4,0.3997252738893774,0.33254205631942213,3.4894231063795464,2.735749394545603,30.006145087179213,7.874722624999777
5,3,2,0,0.9621112884536733,0.6018057111861195,2.754922307088638,2.8381164099084124,30.005372772021403,8.42436116600038
5,3,2,1,1.9151583295865362,1.751066798218773,2.754922307088638,2.8381164099084124,30.005372772021403,8.42436116600038
5,3,2,2,5.221571330555764,7.510313894286629,2.754922307088638,2.8381164099084124,30.005372772021403,8.42436116600038
5,3,2,3,6.0447763328613995,7.9981112578127656,2.754922307088638,2.8381164099084124,30.005372772021403,8.42436116600038
5,3,2,4,3.349118389692163,4.331986482865561,2.754922307088638,2.8381164099084124,30.005372772021403,8.42436116600038
5,3,3,0,1.1822658598299811,0.49846844269618373,2.5568716905334843,3.555482736094499,30.007779999116813,7.779371374999755
5,3,3,1,1.3353806982661247,2.5891892663978244,2.5568716905334843,3.555482736094499,30.007779999116813,7.779371374999755
5,3,3,2,4.983943632599211,7.2826837471496475,2.5568716905334843,3.555482736094499,30.007779999116813,7.779371374999755
5,3,3,3,4.1562238449039155,8.261811743879694,2.5568716905334843,3.555482736094499,30.007779999116813,7.779371374999755
5,3,3,4,2.279537805867667,4.120591754711625,2.5568716905334843,3.555482736094499,30.007779999116813,7.779371374999755
5,3,4,0,3.6632112769672482,4.468732099172527,3.153170414986233,3.9679200877181313,30.003214209556937,7.860166165999544
5,3,4,1,2.012483206803989,3.00345766829563,3.153170414986233,3.9679200877181313,30.003214209556937,7.860166165999544
5,3,4,2,2.3004941490638497,2.641365703506829,3.153170414986233,3.9679200877181313,30.003214209556937,7.860166165999544
5,3,4,3,6.783492216498667,9.210268551673654,3.153170414986233,3.9679200877181313,30.003214209556937,7.860166165999544
5,3,4,4,2.644177193963894,3.162288655182886,3.153170414986233,3.9679200877181313,30.003214209556937,7.860166165999544
5,3,5,0,2.370939134099407,3.8146151307655787,2.8799596446650737,3.9835116053829918,29.98784203591029,8.064203374999124
5,3,5,1,0.9807775347964665,1.3924136872869022,2.8799596446650737,3.9835116053829918,29.98784203591029,8.064203374999124
5,3,5,2,4.921910286254266,6.316238264620741,2.8799596446650737,3.9835116053829918,29.98784203591029,8.064203374999124
5,3,5,3,5.681990651792455,7.616996660318549,2.8799596446650737,3.9835116053829918,29.98784203591029,8.064203374999124
5,3,5,4,2.496709143499347,3.457709548096038,2.8799596446650737,3.9835116053829918,29.98784203591029,8.064203374999124
5,3,6,0,4.711660127576729,5.906768047062022,2.6263738869461135,3.1593406729894276,29.998826734725164,8.313408791998881
5,3,6,1,4.923593822814755,6.132937326876988,2.6263738869461135,3.1593406729894276,29.998826734725164,8.313408791998881
5,3,6,2,6.771962094761781,8.959932076440225,2.6263738869461135,3.1593406729894276,29.998826734725164,8.313408791998881
5,3,6,3,1.5913791909498556,2.6582789612446547,2.6263738869461135,3.1593406729894276,29.998826734725164,8.313408791998881
5,3,6,4,0.7085073601164961,0.5186236724566382,2.6263738869461135,3.1593406729894276,29.998826734725164,8.313408791998881
5,3,7,0,4.802492995970492,6.465299547153545,3.0373645572308505,2.8828414445457176,29.98446619124013,8.121278167000128
5,3,7,1,5.38728988864155,6.173618982992483,3.0373645572308505,2.8828414445457176,29.98446619124013,8.121278167000128
5,3,7,2,10.44565026136687,12.442719073151887,3.0373645572308505,2.8828414445457176,29.98446619124013,8.121278167000128
5,3,7,3,1.239533901684284,0.9262378791612141,3.0373645572308505,2.8828414445457176,29.98446619124013,8.121278167000128
5,3,7,4,1.0734977986551404,0.7875381380470271,3.0373645572308505,2.8828414445457176,29.98446619124013,8.121278167000128
5,3,8,0,3.221423507163905,3.234029968529354,3.4929474270026257,3.635197485605546,29.98941647319591,7.856231292000302
5,3,8,1,2.076875030966421,1.6514294619574001,3.4929474270026257,3.635197485605546,29.98941647319591,7.856231292000302
5,3,8,2,11.663583803136962,12.26639981711768,3.4929474270026257,3.635197485605546,29.98941647319591,7.856231292000302
5,3,8,3,1.8140055711808947,2.959222541477838,3.4929474270026257,3.635197485605546,29.98941647319591,7.856231292000302
5,3,8,4,4.014735536957841,4.019869201950368,3.4929474270026257,3.635197485605546,29.98941647319591,7.856231292000302
5,3,9,0,2.5467415480399502,3.0821151443058543,3.1516418909963697,3.5221243992899556,29.99686431474006,7.95008549999875
5,3,9,1,9.160740722554497,10.711069764627585,3.1516418909963697,3.5221243992899556,29.99686431474006,7.95008549999875
5,3,9,2,1.7964290698619532,0.9174789787509492,3.1516418909963697,3.5221243992899556,29.99686431474006,7.95008549999875
5,3,9,3,2.59675946455166,4.006583992940657,3.1516418909963697,3.5221243992899556,29.99686431474006,7.95008549999875
5,3,9,4,2.7582587909098,4.336191167552481,3.1516418909963697,3.5221243992899556,29.99686431474006,7.95008549999875
