Model,seed,n_sources,n_mixtures,n_samples,presumed_domain,SINR,SNRinp_target,SNRinp_measured,execution_time,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,300,5,7,100000,simplex,26.480380161696022,30.0,30.001781640929124,16.425088221905753,29.807768590189283,25.40116320017915,30.914451335634176,25.538974971796815,24.2987504425706
PredictiveDecorrBSS,300,5,8,100000,simplex,27.770109326670923,30.0,30.00150419900565,16.536063743988052,30.563935991206336,28.885749411374306,30.93377787192967,25.592649263119096,25.819526553510133
PredictiveDecorrBSS,300,5,9,100000,simplex,28.434513264406696,30.0,29.986930728702795,16.470275471918285,30.255811708010114,28.850625388536713,31.487654410769792,26.741992881757138,26.78364059554793
PredictiveDecorrBSS,300,5,10,100000,simplex,29.114361649512887,30.0,30.008531240049553,16.495710835792124,30.558481578247033,29.15464361385194,30.927027061040096,26.817516833907618,29.399295378200904
PredictiveDecorrBSS,300,5,11,100000,simplex,29.631715186754583,30.0,30.009295610838823,16.44231651397422,30.54144658761858,29.834057453020893,30.959327380602634,27.969537257138875,29.49640005058412
PredictiveDecorrBSS,300,5,12,100000,simplex,29.831232844036126,30.0,30.00256054756212,16.530911918962374,30.679793750767132,30.00501806049214,30.993467071524165,28.36103902136403,29.62486945519747
PredictiveDecorrBSS,300,5,13,100000,simplex,30.2721587488587,30.0,30.006464620433594,16.51041190698743,31.049833600731755,30.3345325460997,31.038604444695586,29.655639553667577,29.525615006973965
PredictiveDecorrBSS,400,5,7,100000,simplex,21.764196111705143,30.0,29.98749276889771,16.603019846836105,28.328254595692872,18.26936673129347,21.930285125645735,21.397904383193747,24.91863240362126
PredictiveDecorrBSS,400,5,8,100000,simplex,21.422836477352305,30.0,30.001716617517996,16.46899487799965,28.233842526344763,17.826628426276596,21.814019951158173,21.043915503648716,24.539275461490135
PredictiveDecorrBSS,400,5,9,100000,simplex,22.13501934965622,30.0,29.996881263184292,16.49003503192216,29.46691932542944,18.482289561830655,22.585236413905967,21.3914507096353,26.130284654810634
PredictiveDecorrBSS,400,5,10,100000,simplex,24.233755707494158,30.0,29.9848543590552,16.468030038056895,29.68028085961544,21.94378546102246,24.169941477808273,23.058243238742282,25.853910667596725
PredictiveDecorrBSS,400,5,11,100000,simplex,29.317178748136932,30.0,30.003850695098894,16.507639209972695,30.431133121173698,29.45408741462762,30.179565616756552,27.0629613776562,30.52255447676902
PredictiveDecorrBSS,400,5,12,100000,simplex,29.25458806534628,30.0,29.9866471854282,16.739550138823688,30.475978232384684,30.21445419994892,30.193879015489205,26.556749718040106,30.341867092858344
PredictiveDecorrBSS,400,5,13,100000,simplex,29.75416365161907,30.0,30.001594628961573,16.41605110000819,30.64179091392617,29.72610697719048,30.455761281048428,29.083439952039633,29.115747605556127
PredictiveDecorrBSS,500,5,7,100000,simplex,27.048645984949967,30.0,29.99396832208006,16.609970675082877,29.668087838119618,29.759272769435704,26.815761611340694,25.754048988093338,25.248593862074685
PredictiveDecorrBSS,500,5,8,100000,simplex,27.58413265413997,30.0,29.99638732985641,16.41199036501348,29.362209738575352,29.96833218097249,27.564622374979912,25.717536991519864,26.734662111862963
PredictiveDecorrBSS,500,5,9,100000,simplex,28.662251769897892,30.0,30.00654938499671,16.364025664981455,29.460430669366335,29.66430927184738,28.047565116816934,27.231237467512713,29.473955314401763
PredictiveDecorrBSS,500,5,10,100000,simplex,28.9587980779471,30.0,29.986299152789986,16.32472472405061,29.251982436568795,29.94903802616673,29.041561383654447,27.39284569066225,29.646292389904517
PredictiveDecorrBSS,500,5,11,100000,simplex,29.28609712453726,30.0,29.99834971923836,16.387994452845305,29.683246438985904,29.814340486930426,29.056799473570084,28.02788897446144,30.19846392746752
