Model,seed,rho,mixing_distribution,SINR,SNRinp_target,SNRinp_measured,execution_time,n_sources,n_mixtures,n_samples,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,200,0.0,rademacher,23.56640289439891,30.0,30.00751566489297,15.903135950997239,5,10,100000,21.749957170422263,22.550199484439517,24.706634772068995,27.045090041271038,23.56746142710009
PredictiveDecorrBSS,300,0.0,rademacher,25.10128569025135,30.0,29.993189106426552,15.742137195000396,5,10,100000,25.386165965822375,26.86198315098666,24.65827999969228,24.0901129647343,24.986210425950944
PredictiveDecorrBSS,400,0.0,rademacher,24.752349551353138,30.0,30.0142727917814,15.715962460999435,5,10,100000,24.700690259492752,24.700573652481395,25.06430563523209,25.512260179549727,23.94252400759808
PredictiveDecorrBSS,500,0.0,rademacher,25.897348368588165,30.0,30.0144117752832,15.739710546000424,5,10,100000,26.970521805488524,27.192976184266314,27.38214573269168,24.267019336871275,24.71058446538775
PredictiveDecorrBSS,600,0.0,rademacher,25.68983233889299,30.0,30.00107056099132,15.697069529000146,5,10,100000,26.000789054529893,25.526004049823122,25.625567914291068,25.73645728330768,25.574372211213618
PredictiveDecorrBSS,700,0.0,rademacher,24.031914473050865,30.0,29.99906615173579,15.626647875000344,5,10,100000,22.518587090648094,24.47526368272761,24.237056627245597,26.767175638533196,23.268007914017446
PredictiveDecorrBSS,800,0.0,rademacher,26.209119378172375,30.0,29.991626788227485,20.75634338099917,5,10,100000,26.987708257740625,25.435644384241982,25.878109827242195,25.44294904187437,27.779005400601147
PredictiveDecorrBSS,900,0.0,rademacher,25.723444381584475,30.0,30.004695322244466,16.327245193002454,5,10,100000,26.33177512581323,25.50235660844685,25.771701294314365,26.02522289008558,25.092167117078287
PredictiveDecorrBSS,1000,0.0,rademacher,24.65288831783083,30.0,30.00707860914097,23.199539081000694,5,10,100000,26.682717737285913,25.953195673699014,24.11093565224929,24.368017846803404,23.101553536900454
PredictiveDecorrBSS,1100,0.0,rademacher,25.505613438874562,30.0,29.986593402450268,20.046909512999264,5,10,100000,25.653182911656526,25.1283881471889,25.449878238351083,25.151813713010913,26.236300820944418
PredictiveDecorrBSS,1200,0.0,rademacher,25.098447121897564,30.0,29.99488759691582,20.643802367998433,5,10,100000,24.7715011033633,25.01136876174258,25.89659178267343,24.96978737338576,24.92908148111951
PredictiveDecorrBSS,1300,0.0,rademacher,26.20709010742916,30.0,30.00053026247855,20.064288921999832,5,10,100000,27.111734362561602,27.26341792427684,24.467265348472846,25.309143610612367,27.858978037655117
PredictiveDecorrBSS,1400,0.0,rademacher,25.625587174848125,30.0,29.997660762135645,16.019984642000054,5,10,100000,25.831844621042414,25.919193592353317,26.160085276855586,26.946655263551644,23.890634671605163
PredictiveDecorrBSS,1500,0.0,rademacher,25.803270649194296,30.0,29.99641680532524,16.107689210999524,5,10,100000,25.696135642693886,25.24374132072633,26.988877903746157,26.842465479456155,24.70177718872528
PredictiveDecorrBSS,1600,0.0,rademacher,24.78963494429876,30.0,29.991337974827445,15.9786796269982,5,10,100000,24.26386354609923,26.890352784962857,23.47373786781525,23.60237873731601,27.117195319514718
PredictiveDecorrBSS,1700,0.0,rademacher,25.24459596398193,30.0,30.010253267558106,15.671806172002107,5,10,100000,26.287401204221247,25.10066894295416,24.844593587544548,25.287861341284263,24.855507857115207
PredictiveDecorrBSS,1800,0.0,rademacher,24.91465163565955,30.0,29.99838565501312,15.74280229299984,5,10,100000,23.836311918266134,26.628074217743467,25.55720251618026,24.642631162884783,24.42764830575735
PredictiveDecorrBSS,1900,0.0,rademacher,25.946946997234495,30.0,29.996834986623078,15.921962560001703,5,10,100000,25.680911142261294,27.06597289335396,27.26336951990642,25.71571356425086,24.579588806692257
PredictiveDecorrBSS,2000,0.0,rademacher,23.925009503679554,30.0,30.006225515458283,16.0562826940004,5,10,100000,23.44684454422279,23.647386026779706,25.25417207692942,23.22507095487099,24.35829098863239
PredictiveDecorrBSS,2100,0.0,rademacher,25.883080266829708,30.0,29.99682528314048,15.791551237998647,5,10,100000,26.057062398830162,25.726475249897852,26.749902809174625,26.134985311101904,24.946792341951113
PredictiveDecorrBSS,2200,0.0,rademacher,25.603443889156882,30.0,29.99045653034651,15.584306642998854,5,10,100000,24.433424385457506,27.358583599621127,25.836300240280863,25.493894135397742,25.403352297291843
PredictiveDecorrBSS,2300,0.0,rademacher,25.585884001374026,30.0,30.00740690021982,15.706004677998862,5,10,100000,25.80879405179733,25.308345241234818,26.64711011979913,26.67708241114267,24.05835165751252
PredictiveDecorrBSS,2400,0.0,rademacher,26.023856160049444,30.0,29.999764414306803,15.760419662001368,5,10,100000,25.10371840848514,27.75039036236986,25.684592178606312,26.462844340447226,25.583036569824916
PredictiveDecorrBSS,2500,0.0,rademacher,25.006138735506976,30.0,30.0054508934643,15.745553216998815,5,10,100000,24.535213275823864,23.50576464063988,25.399334751152132,25.267238996194486,27.090536949185445
PredictiveDecorrBSS,2600,0.0,rademacher,25.6166689698896,30.0,30.006662932288393,15.591239346998918,5,10,100000,24.461536040871096,26.539843582761257,26.602909140197454,24.935726011273566,25.980475329436246
PredictiveDecorrBSS,2700,0.0,rademacher,24.314217615409174,30.0,29.992439953143524,15.646458491002704,5,10,100000,25.283706458343737,25.569865198206145,25.11676671830985,22.922720561570827,23.3671535342317
PredictiveDecorrBSS,2800,0.0,rademacher,25.425132441652867,30.0,29.992158771252313,15.854399045998434,5,10,100000,25.498982097450128,24.535109217146335,27.0573590938901,23.93550480838812,27.011982255031974
PredictiveDecorrBSS,2900,0.0,rademacher,24.999906865651546,30.0,30.004200575127285,15.729898097997648,5,10,100000,25.128819912078903,25.799953631632555,24.017115194413208,25.220317768504085,25.03122946604407
PredictiveDecorrBSS,0,0.0,student_t_df5,27.68770105917753,30.0,30.01286771751701,15.669070164000004,5,10,100000,25.957414492371235,27.89460355634342,29.80968994303222,28.094481700312958,27.55215887306042
PredictiveDecorrBSS,100,0.0,student_t_df5,25.40571621431774,30.0,30.012650246999726,15.664603331999388,5,10,100000,26.160322914097538,24.341669012575537,26.15997569515531,24.20720037199135,26.810220237908432
PredictiveDecorrBSS,200,0.0,student_t_df5,27.221511939354627,30.0,30.00085150815847,15.530937444000301,5,10,100000,27.194783386988107,26.01587791623812,27.89734700836859,27.477584260389463,27.7954625486747
PredictiveDecorrBSS,300,0.0,student_t_df5,26.782598433293757,30.0,29.990016381031964,15.642004796998663,5,10,100000,24.854746869937784,26.72547076722228,26.6796744733244,26.889083506279448,30.475521454500132
PredictiveDecorrBSS,400,0.0,student_t_df5,24.978484817746697,30.0,30.013263123224853,15.72892780300026,5,10,100000,24.35056236879443,25.30908565236262,25.77839680450389,23.710807967910668,26.230830306402375
PredictiveDecorrBSS,500,0.0,student_t_df5,25.525245387323476,30.0,30.017794713114064,15.586614308998833,5,10,100000,25.338408057520265,26.17344914571868,24.562702853414187,25.399469746702525,26.407786107947437
PredictiveDecorrBSS,600,0.0,student_t_df5,25.50145776640404,30.0,30.002439257248597,15.569228861000738,5,10,100000,24.315508170085938,27.08022958356901,24.148808690312432,27.304290294241078,25.67100641794952
PredictiveDecorrBSS,700,0.0,student_t_df5,27.136187816190155,30.0,29.99914875288676,15.426731863000896,5,10,100000,27.912808718044563,27.556118908141993,26.433376431955796,28.01018635692392,26.12085783772364
PredictiveDecorrBSS,800,0.0,student_t_df5,25.703859608606976,30.0,29.99638066632184,14.962798005999502,5,10,100000,23.913620427732923,26.96131200166684,30.34939160636002,24.28552160055302,25.67205642268337
