Model,gradient_variant,seed,SNRinp_target,SNRinp_measured,SINR,execution_time,n_sources,n_mixtures,n_samples,presumed_domain,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,full,1000,25.0,24.994152030972515,25.287098208997207,16.38250213599531,5,10,100000,sparse,26.2664955454475,23.92722691626136,24.8750802732865,26.001625687769216,25.799279331523355
PredictiveDecorrBSS,truncated,1100,25.0,24.992314889600713,23.7207943237081,14.736764966015471,5,10,100000,sparse,26.436912584599597,23.94997049106874,24.185437435696834,23.34351849685151,21.900486901167113
PredictiveDecorrBSS,full,1100,25.0,24.992314889600713,23.729243524937292,16.45953315999941,5,10,100000,sparse,26.446489239642723,23.960377180948203,24.1939513496379,23.35769756283899,21.903243229381243
PredictiveDecorrBSS,truncated,1200,25.0,25.001005455777722,20.62040471912662,14.630399992980529,5,10,100000,sparse,22.584085654121694,17.94438048427226,21.332564697360894,24.24593160528198,19.718564627139077
PredictiveDecorrBSS,full,1200,25.0,25.001005455777722,20.963747166162932,16.398570493009174,5,10,100000,sparse,23.14919127097028,18.210039843565955,21.47816796596259,26.204199558268915,19.745322698276517
PredictiveDecorrBSS,truncated,1300,25.0,25.00500816302031,23.82870447782701,14.732302966993302,5,10,100000,sparse,23.762419984722,23.052718606791764,23.413571527611555,24.142055909251642,25.022769547149743
PredictiveDecorrBSS,full,1300,25.0,25.00500816302031,23.832768669462723,16.438455739000347,5,10,100000,sparse,23.76655286719654,23.055247000257026,23.41630163442364,24.14666796793986,25.030406333030285
PredictiveDecorrBSS,truncated,1400,25.0,25.007978380004637,23.643479717603615,14.55713093400118,5,10,100000,sparse,24.73942352998517,23.094372637127975,23.606603548652657,23.711838808900367,23.259899905282445
PredictiveDecorrBSS,full,1400,25.0,25.007978380004637,23.6491822816652,16.458541730011348,5,10,100000,sparse,24.74837687331547,23.09821508847429,23.613695486653118,23.718168194722065,23.26340190138702
PredictiveDecorrBSS,truncated,1500,25.0,24.976111224175668,24.817527148161048,14.677071757003432,5,10,100000,sparse,22.740664935018202,24.662689133989154,28.75792062185836,23.69580329421835,26.576394894953765
PredictiveDecorrBSS,full,1500,25.0,24.976111224175668,24.8226693650092,16.47539685497759,5,10,100000,sparse,22.743299607289767,24.67227714815444,28.760500513685496,23.699191461423194,26.585639161504297
PredictiveDecorrBSS,truncated,1600,25.0,24.99566342942844,21.645719494446467,14.602047577005578,5,10,100000,sparse,25.15094244196802,23.806157696595015,20.10184798529725,19.547922453108466,22.07171170039858
PredictiveDecorrBSS,full,1600,25.0,24.99566342942844,21.6509320174748,15.744018205994507,5,10,100000,sparse,25.20012224228648,23.82859044157201,20.108151686041698,19.54935902709948,22.049210401531752
PredictiveDecorrBSS,truncated,1700,25.0,25.009656940967503,24.882458206638507,14.601261703995988,5,10,100000,sparse,24.065268735761546,27.105678441128077,24.982430997221172,25.765835090098935,23.41327624014252
PredictiveDecorrBSS,full,1700,25.0,25.009656940967503,24.89258983839584,16.079878090007696,5,10,100000,sparse,24.069853889464166,27.125845201004818,24.99604595005788,25.777318474781723,23.420708843666983
PredictiveDecorrBSS,truncated,1800,25.0,24.998120365526148,24.299488589846195,14.357746064983075,5,10,100000,sparse,25.165333156017105,25.50327164567749,25.194876785795124,23.72143690697996,22.63904931497851
PredictiveDecorrBSS,full,1800,25.0,24.998120365526148,24.307452449423725,15.866503819008358,5,10,100000,sparse,25.175081630770528,25.521021752479417,25.200312813045382,23.7277036432927,22.64368610122281
PredictiveDecorrBSS,truncated,1900,25.0,24.999062029732187,23.384714522853784,14.191831549018389,5,10,100000,sparse,21.74084834180878,23.168853690305937,23.919338646558796,23.841557605601743,24.917826261300952
